learning_rate,0.01,training_epoch,10,batch_size,100,display_step,50,conv1_kernel_num,32,conv2_kernel_num,32,fc1_units_num,250,fc2_units_num,150
train_step,train_loss,train_step,train_accuracy
50,2.301229,50,0.15
100,2.2994342,100,0.06
150,2.297894,150,0.12
200,2.290866,200,0.22
250,2.2787216,250,0.22
300,2.2489452,300,0.26
350,2.242947,350,0.17
400,2.2068532,400,0.1
450,2.1336906,450,0.21
500,2.097998,500,0.22
550,2.1466556,550,0.28
600,1.9977922,600,0.23
650,1.9418968,650,0.29
700,1.9869534,700,0.25
750,2.019988,750,0.29
800,2.0844827,800,0.34
850,1.9814045,850,0.23
900,2.010938,900,0.27
950,1.9966342,950,0.29
1000,1.8531847,1000,0.29
1050,1.884064,1050,0.33
1100,1.9972767,1100,0.23
1150,1.6742618,1150,0.4
1200,1.8107878,1200,0.32
1250,1.8983327,1250,0.27
1300,1.763347,1300,0.35
1350,1.7672338,1350,0.35
1400,1.660155,1400,0.4
1450,1.828556,1450,0.37
1500,1.7968267,1500,0.35
1550,1.8312924,1550,0.33
1600,1.8538193,1600,0.36
1650,1.6688719,1650,0.44
1700,1.6160557,1700,0.46
1750,1.8180633,1750,0.38
1800,1.6962562,1800,0.35
1850,1.7107902,1850,0.42
1900,1.6307809,1900,0.42
1950,1.6291231,1950,0.4
2000,1.700347,2000,0.41
2050,1.6616641,2050,0.43
2100,1.6715235,2100,0.4
2150,1.6977465,2150,0.45
2200,1.6438773,2200,0.44
2250,1.6311704,2250,0.43
2300,1.8000087,2300,0.37
2350,1.7394173,2350,0.34
2400,1.6591337,2400,0.41
2450,1.7598338,2450,0.43
2500,1.5598954,2500,0.39
2550,1.7028443,2550,0.43
2600,1.6476148,2600,0.39
2650,1.6875428,2650,0.42
2700,1.5164386,2700,0.41
2750,1.6472528,2750,0.43
2800,1.6418905,2800,0.42
2850,1.5667555,2850,0.48
2900,1.6872393,2900,0.46
2950,1.6278832,2950,0.42
3000,1.6234907,3000,0.4
3050,1.6993045,3050,0.45
3100,1.4815836,3100,0.48
3150,1.4534782,3150,0.39
3200,1.5590119,3200,0.5
3250,1.5519677,3250,0.46
3300,1.6253667,3300,0.38
3350,1.4804889,3350,0.51
3400,1.7566713,3400,0.37
3450,1.659459,3450,0.52
3500,1.5491171,3500,0.43
3550,1.4890593,3550,0.53
3600,1.4907123,3600,0.54
3650,1.5762213,3650,0.51
3700,1.7273288,3700,0.41
3750,1.5319834,3750,0.51
3800,1.5895792,3800,0.48
3850,1.6438491,3850,0.39
3900,1.5817425,3900,0.48
3950,1.6703044,3950,0.42
4000,1.56441,4000,0.51
4050,1.5109205,4050,0.5
4100,1.6097631,4100,0.46
4150,1.3698202,4150,0.5
4200,1.6557093,4200,0.37
4250,1.3962405,4250,0.54
4300,1.6875951,4300,0.42
4350,1.6275191,4350,0.5
4400,1.5470028,4400,0.46
4450,1.5321866,4450,0.46
4500,1.5223993,4500,0.48
4550,1.393324,4550,0.53
4600,1.4313021,4600,0.44
4650,1.5267699,4650,0.48
4700,1.523195,4700,0.51
4750,1.3489978,4750,0.49
4800,1.4259192,4800,0.53
4850,1.2227774,4850,0.67
4900,1.3649402,4900,0.58
4950,1.463003,4950,0.53
5000,1.3994896,5000,0.51
Accuracy on Test Example:,0.537
