learning_rate,0.01,training_epoch,10,batch_size,100,display_step,50,conv1_kernel_num,32,conv2_kernel_num,32,fc1_units_num,250,fc2_units_num,150
train_step,train_loss,train_step,train_accuracy
50,11.888611,50,0.15
100,11.416924,100,0.16
150,10.973132,150,0.11
200,10.546993,200,0.16
250,10.138956,250,0.23
300,9.751429,300,0.25
350,9.38192,350,0.26
400,9.027761,400,0.28
450,8.700939,450,0.19
500,8.357594,500,0.18
550,8.015273,550,0.17
600,7.65961,600,0.17
650,7.3941393,650,0.2
700,7.074001,700,0.23
750,6.821825,750,0.28
800,6.6956434,800,0.13
850,6.37519,850,0.25
900,6.1230073,900,0.23
950,5.97451,950,0.28
1000,5.729229,1000,0.23
1050,5.557477,1050,0.23
1100,5.3279305,1100,0.29
1150,5.2421007,1150,0.29
1200,4.955016,1200,0.32
1250,4.875455,1250,0.33
1300,4.6480503,1300,0.34
1350,4.508629,1350,0.32
1400,4.5607243,1400,0.22
1450,4.356376,1450,0.31
1500,4.186299,1500,0.32
1550,3.9669347,1550,0.34
1600,3.8017151,1600,0.4
1650,3.8287787,1650,0.35
1700,3.708322,1700,0.31
1750,3.7172663,1750,0.32
1800,3.537125,1800,0.37
1850,3.4871793,1850,0.32
1900,3.299605,1900,0.3
1950,3.524835,1950,0.26
2000,3.1534903,2000,0.42
2050,3.1254506,2050,0.36
2100,3.0610723,2100,0.37
2150,3.002449,2150,0.36
2200,2.9814496,2200,0.32
2250,2.9018548,2250,0.35
2300,2.9890862,2300,0.36
2350,2.7962103,2350,0.4
2400,2.8130245,2400,0.32
2450,2.571717,2450,0.41
2500,2.6518376,2500,0.38
2550,2.7146163,2550,0.24
2600,2.6442704,2600,0.32
2650,2.4295876,2650,0.43
2700,2.4489105,2700,0.41
2750,2.5461037,2750,0.32
2800,2.4575052,2800,0.29
2850,2.5389457,2850,0.32
2900,2.3622885,2900,0.41
2950,2.4025712,2950,0.36
3000,2.279248,3000,0.42
3050,2.2658265,3050,0.38
3100,2.1821144,3100,0.35
3150,2.2637877,3150,0.41
3200,2.137879,3200,0.45
3250,1.9816402,3250,0.47
3300,2.1500058,3300,0.38
3350,2.0992591,3350,0.34
3400,2.1296,3400,0.37
3450,2.2086196,3450,0.38
3500,2.0396633,3500,0.37
3550,1.8748529,3550,0.53
3600,1.9599044,3600,0.42
3650,2.0224066,3650,0.44
3700,2.0353122,3700,0.45
3750,1.955815,3750,0.35
3800,1.8694271,3800,0.48
3850,1.976184,3850,0.39
3900,1.8969251,3900,0.44
3950,1.7958751,3950,0.48
4000,1.8349855,4000,0.39
4050,1.8886167,4050,0.42
4100,1.9339876,4100,0.41
4150,1.8081119,4150,0.5
4200,1.8712504,4200,0.41
4250,1.8715124,4250,0.48
4300,1.7649157,4300,0.5
4350,1.75919,4350,0.46
4400,1.8557911,4400,0.39
4450,1.8290737,4450,0.43
4500,1.8455808,4500,0.39
4550,1.7879722,4550,0.38
4600,1.8561639,4600,0.45
4650,1.7153676,4650,0.5
4700,1.7972808,4700,0.4
4750,1.9031174,4750,0.37
4800,1.8688444,4800,0.47
4850,1.7227423,4850,0.4
4900,1.860618,4900,0.39
4950,1.8866279,4950,0.43
5000,1.8604381,5000,0.44
Accuracy on Test Example:,0.4399
