learning_rate,0.01,training_epoch,10,batch_size,100,display_step,50,conv1_kernel_num,32,conv2_kernel_num,32,fc1_units_num,250,fc2_units_num,150
train_step,train_loss,train_step,train_accuracy
50,28.394215,50,0.13
100,24.754572,100,0.13
150,21.626188,150,0.12
200,18.931282,200,0.11
250,16.610447,250,0.22
300,14.617954,300,0.19
350,12.89661,350,0.17
400,11.421611,400,0.23
450,10.148672,450,0.19
500,9.051917,500,0.21
550,8.109916,550,0.14
600,7.300333,600,0.14
650,6.5889482,650,0.3
700,5.989399,700,0.15
750,5.4669485,750,0.14
800,5.0093675,800,0.21
850,4.582229,850,0.17
900,4.228017,900,0.24
950,3.9776826,950,0.21
1000,3.6941981,1000,0.18
1050,3.4464874,1050,0.17
1100,3.3278372,1100,0.17
1150,3.188038,1150,0.15
1200,3.0451548,1200,0.23
1250,2.7901118,1250,0.16
1300,2.642488,1300,0.23
1350,2.658989,1350,0.2
1400,2.5345972,1400,0.2
1450,2.5259695,1450,0.15
1500,2.5136528,1500,0.18
1550,2.3459125,1550,0.24
1600,2.3223014,1600,0.24
1650,2.309319,1650,0.2
1700,2.2631326,1700,0.26
1750,2.151231,1750,0.22
1800,2.2101514,1800,0.18
1850,2.1933236,1850,0.18
1900,2.1754584,1900,0.17
1950,2.086236,1950,0.18
2000,2.106465,2000,0.28
2050,2.0612774,2050,0.15
2100,2.1582117,2100,0.23
2150,2.0699573,2150,0.26
2200,2.013184,2200,0.2
2250,2.1080413,2250,0.22
2300,2.0582821,2300,0.24
2350,2.061455,2350,0.16
2400,2.015164,2400,0.24
2450,1.9960204,2450,0.19
2500,1.9368103,2500,0.22
2550,2.0279539,2550,0.2
2600,2.1072745,2600,0.2
2650,2.079983,2650,0.16
2700,2.0052133,2700,0.14
2750,2.0464582,2750,0.18
2800,2.0551944,2800,0.23
2850,1.9654661,2850,0.21
2900,2.0289662,2900,0.22
2950,2.102679,2950,0.16
3000,2.0058978,3000,0.25
3050,1.9852315,3050,0.29
3100,2.0473347,3100,0.2
3150,2.019663,3150,0.14
3200,2.0189016,3200,0.23
3250,2.1553457,3250,0.25
3300,1.9465456,3300,0.17
3350,1.9839537,3350,0.23
3400,2.0019205,3400,0.18
3450,1.9936783,3450,0.23
3500,1.9091903,3500,0.28
3550,2.0552375,3550,0.22
3600,1.8899512,3600,0.25
3650,2.1306193,3650,0.12
3700,1.9190786,3700,0.23
3750,1.9990859,3750,0.2
3800,1.8815038,3800,0.3
3850,2.0881329,3850,0.23
3900,2.0084481,3900,0.27
3950,1.9814463,3950,0.25
4000,2.0160644,4000,0.18
4050,1.959002,4050,0.18
4100,1.9555328,4100,0.14
4150,1.9662993,4150,0.27
4200,1.9870585,4200,0.19
4250,2.0259035,4250,0.23
4300,1.9237068,4300,0.21
4350,1.8979614,4350,0.22
4400,2.044251,4400,0.2
4450,2.1621778,4450,0.17
4500,1.936562,4500,0.23
4550,1.9341881,4550,0.26
4600,1.901175,4600,0.27
4650,1.9908767,4650,0.26
4700,1.913734,4700,0.27
4750,2.0305636,4750,0.17
4800,2.0267613,4800,0.22
4850,1.994783,4850,0.22
4900,2.0097218,4900,0.23
4950,1.9993418,4950,0.21
5000,1.9371641,5000,0.32
Accuracy on Test Example:,0.2394
