learning_rate,0.01,training_epoch,10,batch_size,100,display_step,50,conv1_kernel_num,32,conv2_kernel_num,32,fc1_units_num,250,fc2_units_num,150
train_step,train_loss,train_step,train_accuracy
50,4.2906866,50,0.09
100,4.271272,100,0.08
150,4.248075,150,0.13
200,4.2319922,200,0.1
250,4.2036486,250,0.22
300,4.1784883,300,0.23
350,4.154557,350,0.15
400,4.1250443,400,0.16
450,4.049994,450,0.2
500,3.9864845,500,0.26
550,3.9419272,550,0.21
600,3.8818994,600,0.18
650,3.8793654,650,0.22
700,3.7318974,700,0.24
750,3.8559558,750,0.34
800,3.751023,800,0.17
850,3.7351537,850,0.24
900,3.5988116,900,0.31
950,3.5668235,950,0.29
1000,3.616416,1000,0.27
1050,3.5312452,1050,0.31
1100,3.582841,1100,0.31
1150,3.523032,1150,0.33
1200,3.4835715,1200,0.28
1250,3.5077648,1250,0.19
1300,3.4097447,1300,0.32
1350,3.3556738,1350,0.33
1400,3.4148302,1400,0.32
1450,3.3710258,1450,0.39
1500,3.2870908,1500,0.36
1550,3.297589,1550,0.22
1600,3.342463,1600,0.31
1650,3.2354329,1650,0.3
1700,3.066925,1700,0.44
1750,3.182222,1750,0.41
1800,3.1922865,1800,0.37
1850,3.2075162,1850,0.35
1900,3.2154942,1900,0.41
1950,3.123015,1950,0.4
2000,3.1185484,2000,0.3
2050,3.0525322,2050,0.33
2100,3.0876966,2100,0.39
2150,3.0171816,2150,0.41
2200,3.0548372,2200,0.42
2250,3.0190134,2250,0.39
2300,2.9624865,2300,0.4
2350,2.8682854,2350,0.45
2400,2.959887,2400,0.46
2450,3.1380923,2450,0.36
2500,2.893508,2500,0.5
2550,3.0415092,2550,0.38
2600,2.7786908,2600,0.48
2650,2.8430367,2650,0.42
2700,2.7802434,2700,0.44
2750,2.807496,2750,0.41
2800,2.8936732,2800,0.39
2850,2.9402976,2850,0.36
2900,2.7139933,2900,0.41
2950,2.7313344,2950,0.45
3000,2.7617464,3000,0.38
3050,2.7695782,3050,0.41
3100,2.8596015,3100,0.45
3150,2.5020351,3150,0.55
3200,2.7883453,3200,0.39
3250,2.6615484,3250,0.51
3300,2.74144,3300,0.4
3350,2.6374545,3350,0.46
3400,2.5705237,3400,0.52
3450,2.479463,3450,0.52
3500,2.5618322,3500,0.53
3550,2.5359337,3550,0.44
3600,2.5942068,3600,0.42
3650,2.666351,3650,0.45
3700,2.5566702,3700,0.48
3750,2.5974054,3750,0.45
3800,2.4135246,3800,0.51
3850,2.4611118,3850,0.44
3900,2.3767657,3900,0.58
3950,2.5720587,3950,0.44
4000,2.3607593,4000,0.52
4050,2.5454555,4050,0.42
4100,2.5232444,4100,0.41
4150,2.543517,4150,0.52
4200,2.4416776,4200,0.53
4250,2.4888978,4250,0.51
4300,2.438169,4300,0.46
4350,2.3506436,4350,0.49
4400,2.5509791,4400,0.49
4450,2.4839325,4450,0.48
4500,2.2561207,4500,0.52
4550,2.3830242,4550,0.46
4600,2.4594479,4600,0.42
4650,2.4136143,4650,0.46
4700,2.2668169,4700,0.49
4750,2.276056,4750,0.57
4800,2.3109205,4800,0.44
4850,2.195938,4850,0.5
4900,2.3021677,4900,0.5
4950,2.3582058,4950,0.48
5000,2.2975206,5000,0.53
Accuracy on Test Example:,0.5097
