learning_rate,0.01,training_epoch,10,batch_size,100,display_step,50,conv1_kernel_num,32,conv2_kernel_num,32,fc1_units_num,250,fc2_units_num,150
train_step,train_loss,train_step,train_accuracy
50,2.500041,50,0.14
100,2.4997566,100,0.14
150,2.4986138,150,0.09
200,2.4927306,200,0.16
250,2.473816,250,0.24
300,2.4589477,300,0.23
350,2.4496903,350,0.2
400,2.3833988,400,0.2
450,2.3260562,450,0.16
500,2.3326294,500,0.19
550,2.225935,550,0.22
600,2.2234151,600,0.27
650,2.2216575,650,0.19
700,2.1449022,700,0.33
750,2.1977882,750,0.32
800,2.112947,800,0.22
850,2.2627254,850,0.24
900,2.0888612,900,0.3
950,2.048427,950,0.31
1000,2.0508962,1000,0.38
1050,2.1368427,1050,0.31
1100,2.082554,1100,0.42
1150,1.8712832,1150,0.35
1200,1.9444588,1200,0.38
1250,2.092467,1250,0.31
1300,2.115882,1300,0.32
1350,2.0915215,1350,0.32
1400,2.0667424,1400,0.37
1450,1.9418621,1450,0.3
1500,1.848155,1500,0.47
1550,2.0427074,1550,0.35
1600,1.8302187,1600,0.44
1650,2.0669122,1650,0.39
1700,1.8741126,1700,0.36
1750,2.0128512,1750,0.27
1800,1.9952697,1800,0.39
1850,1.9235643,1850,0.36
1900,1.8716581,1900,0.46
1950,1.8121971,1950,0.41
2000,1.893767,2000,0.44
2050,2.0018315,2050,0.36
2100,2.0376806,2100,0.36
2150,1.8499551,2150,0.44
2200,1.9274788,2200,0.38
2250,1.8481948,2250,0.34
2300,1.9728198,2300,0.42
2350,1.8655883,2350,0.39
2400,1.8791134,2400,0.47
2450,1.890307,2450,0.4
2500,1.7370945,2500,0.43
2550,1.9217819,2550,0.42
2600,1.8841515,2600,0.45
2650,1.67962,2650,0.48
2700,1.9280239,2700,0.4
2750,1.7903502,2750,0.45
2800,1.8628441,2800,0.4
2850,1.7775974,2850,0.48
2900,1.8630389,2900,0.41
2950,1.8069192,2950,0.44
3000,1.8776888,3000,0.39
3050,1.7246108,3050,0.46
3100,1.6872454,3100,0.43
3150,1.7051057,3150,0.5
3200,1.7100598,3200,0.52
3250,1.7031525,3250,0.5
3300,1.8990593,3300,0.43
3350,1.8334265,3350,0.45
3400,1.9094397,3400,0.35
3450,1.7367822,3450,0.5
3500,1.7584271,3500,0.47
3550,1.8463843,3550,0.4
3600,1.7513392,3600,0.45
3650,1.6511858,3650,0.52
3700,1.6747764,3700,0.5
3750,1.6498991,3750,0.47
3800,1.6912968,3800,0.51
3850,1.6454357,3850,0.47
3900,1.5658157,3900,0.57
3950,1.697409,3950,0.51
4000,1.795443,4000,0.45
4050,1.692308,4050,0.5
4100,1.7080557,4100,0.46
4150,1.5821362,4150,0.49
4200,1.7308569,4200,0.39
4250,1.7276565,4250,0.51
4300,1.8039347,4300,0.48
4350,1.5250293,4350,0.53
4400,1.671516,4400,0.5
4450,1.7598126,4450,0.41
4500,1.911044,4500,0.44
4550,1.7154734,4550,0.47
4600,1.8269546,4600,0.44
4650,1.7584769,4650,0.55
4700,1.5728655,4700,0.53
4750,1.5428138,4750,0.49
4800,1.77801,4800,0.45
4850,1.599742,4850,0.52
4900,1.5521698,4900,0.56
4950,1.7963167,4950,0.44
5000,1.5943435,5000,0.51
Accuracy on Test Example:,0.5025
