learning_rate,0.01,training_epoch,10,batch_size,100,display_step,50,conv1_kernel_num,32,conv2_kernel_num,32,fc1_units_num,250,fc2_units_num,150
train_step,train_loss,train_step,train_accuracy
50,20.5936,50,0.09
100,18.848103,100,0.14
150,17.27277,150,0.13
200,15.846516,200,0.2
250,14.557617,250,0.21
300,13.387741,300,0.2
350,12.331118,350,0.25
400,11.370158,400,0.21
450,10.501608,450,0.34
500,9.723196,500,0.19
550,8.997607,550,0.26
600,8.358744,600,0.19
650,7.762588,650,0.21
700,7.2112594,700,0.26
750,6.6974616,750,0.2
800,6.2496448,800,0.21
850,5.857829,850,0.16
900,5.5105157,900,0.19
950,5.1775117,950,0.13
1000,4.7960634,1000,0.19
1050,4.544609,1050,0.28
1100,4.335414,1100,0.25
1150,3.9888284,1150,0.23
1200,3.917418,1200,0.23
1250,3.6536899,1250,0.23
1300,3.5389752,1300,0.19
1350,3.4218082,1350,0.21
1400,3.2578688,1400,0.27
1450,3.0425115,1450,0.24
1500,2.951174,1500,0.31
1550,2.8706455,1550,0.24
1600,2.8533382,1600,0.23
1650,2.7196884,1650,0.22
1700,2.6888905,1700,0.27
1750,2.5240898,1750,0.26
1800,2.551049,1800,0.23
1850,2.4678164,1850,0.26
1900,2.4490418,1900,0.21
1950,2.3558996,1950,0.29
2000,2.2537532,2000,0.27
2050,2.4258606,2050,0.2
2100,2.2249074,2100,0.26
2150,2.1241922,2150,0.39
2200,2.2517703,2200,0.29
2250,2.2401834,2250,0.23
2300,2.0911837,2300,0.3
2350,2.084532,2350,0.33
2400,2.179946,2400,0.27
2450,2.0864933,2450,0.2
2500,2.0625277,2500,0.3
2550,2.1295536,2550,0.27
2600,2.079147,2600,0.27
2650,2.0650878,2650,0.24
2700,2.0433817,2700,0.25
2750,2.0564835,2750,0.26
2800,1.9692143,2800,0.34
2850,1.9356999,2850,0.36
2900,2.0448592,2900,0.26
2950,2.009394,2950,0.27
3000,1.9370208,3000,0.33
3050,2.0385509,3050,0.24
3100,1.973528,3100,0.31
3150,1.9889383,3150,0.35
3200,1.8969702,3200,0.25
3250,1.9478915,3250,0.32
3300,1.9689038,3300,0.26
3350,1.8377696,3350,0.39
3400,1.9778616,3400,0.28
3450,1.8877577,3450,0.31
3500,1.9186835,3500,0.37
3550,1.9573051,3550,0.34
3600,2.0617266,3600,0.25
3650,1.9876578,3650,0.25
3700,1.9279988,3700,0.34
3750,1.9825573,3750,0.28
3800,1.8102176,3800,0.27
3850,1.8201067,3850,0.35
3900,1.8107835,3900,0.32
3950,2.0077538,3950,0.33
4000,1.9262356,4000,0.32
4050,1.886766,4050,0.46
4100,2.0281994,4100,0.21
4150,1.7981933,4150,0.42
4200,1.9199512,4200,0.35
4250,2.0053444,4250,0.3
4300,1.8495982,4300,0.3
4350,1.9371525,4350,0.35
4400,1.9562404,4400,0.27
4450,1.828303,4450,0.35
4500,1.895445,4500,0.36
4550,2.0069606,4550,0.31
4600,2.0159545,4600,0.25
4650,1.8908204,4650,0.31
4700,1.906904,4700,0.38
4750,1.8676721,4750,0.31
4800,1.8360702,4800,0.29
4850,1.81643,4850,0.35
4900,1.7798342,4900,0.38
4950,1.9157445,4950,0.41
5000,1.8299655,5000,0.34
Accuracy on Test Example:,0.3547
